title,length,refs,images,sections,links,infobox,quality,quality_real,quality_3class,topic
Anarchism,114398,14,16,60,673,0,GA,GA,High,History & Politics
Albedo,71550,139,7,56,186,0,C,B,Medium,Science & Technology
A,34540,24,20,40,342,1,Start,C,Medium,General
Alabama,222888,333,43,122,989,1,B,B,Medium,Geography
Achilles,85970,124,23,68,607,1,C,B,Medium,History & Politics
Abraham Lincoln,159311,96,17,149,643,1,FA,FA,High,History & Politics
Aristotle,158199,76,23,168,721,1,GA,GA,High,Science & Technology
An American in Paris,33005,57,0,22,134,1,Start,B,Medium,History & Politics
Academy Awards,214890,279,6,96,1160,1,B,B,Medium,History & Politics
Actrius,6601,9,0,16,53,1,Stub,Start,Low,Culture & Arts
Animalia (book),6829,11,0,12,27,1,Stub,Start,Low,Science & Technology
International Atomic Time,16092,13,0,18,67,0,Start,C,Medium,General
Altruism,102920,162,8,58,271,0,B,B,Medium,Culture & Arts
Ayn Rand,93063,41,10,52,471,1,GA,GA,High,Science & Technology
Alain Connes,20365,52,1,16,159,1,Start,C,Medium,Science & Technology
Allan Dwan,14446,8,0,14,183,1,Stub,B,Medium,History & Politics
Algeria,197823,270,46,90,963,1,B,B,Medium,History & Politics
Anthropology,108447,139,5,178,398,0,B,C,Medium,Science & Technology
Agricultural science,16150,16,1,18,130,0,Start,B,Medium,Science & Technology
Alchemy,124148,194,11,82,518,1,B,C,Medium,Science & Technology
Astronomer,11015,12,4,20,93,0,Stub,Start,Low,Science & Technology
ASCII,111163,116,4,82,611,1,B,B,Medium,General
Animation,85207,67,12,104,506,0,C,C,Medium,Science & Technology
Apollo,217797,476,55,224,1551,1,B,C,Medium,Biography
Andre Agassi,173480,301,1,82,597,1,B,B,Medium,History & Politics
Austroasiatic languages,73936,67,3,48,395,1,C,C,Medium,General
Afroasiatic languages,114694,6,7,118,303,1,Stub,C,Medium,Biography
Andorra,156079,235,35,100,650,1,B,B,Medium,Science & Technology
Arithmetic mean,14368,9,1,30,78,0,Stub,C,Medium,General
American Football Conference,27224,24,2,12,202,1,Start,Start,Low,Culture & Arts
Animal Farm,94260,59,5,58,347,1,C,B,Medium,Science & Technology
Amphibian,166148,197,39,84,566,0,FA,FA,High,History & Politics
Alaska,204824,231,38,176,1070,1,B,B,Medium,Geography
Agriculture,203431,360,36,84,650,0,GA,GA,High,Culture & Arts
Aldous Huxley,72866,107,5,40,335,1,C,B,Medium,Science & Technology
Algae,124333,202,13,140,535,1,B,B,Medium,General
Analysis of variance,57946,75,7,96,128,0,C,C,Medium,General
Alkane,65373,71,17,98,418,0,C,B,Medium,General
Appellate procedure in the United States,27526,15,2,36,86,0,Start,Start,Low,Geography
Answer (law),2812,4,0,2,23,0,Stub,Stub,Low,General
Appellate court,25887,28,6,34,115,0,Start,C,Medium,General
Arraignment,13435,23,1,30,67,0,Stub,C,Medium,Geography
America the Beautiful,35040,47,3,18,181,1,Start,C,Medium,History & Politics
Assistive technology,79587,86,12,96,179,0,C,B,Medium,Science & Technology
